,id,created_at,updated_at,available,average_fee_transport,average_gas_consume,average_velocity,fixed_cost,driver_name,gas_price,height,length,max_capacity,max_load_weight,max_velocity,min_velocity,name,type,width,dx_code,vehicle_cost,manager_node
162,163,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,756036
163,164,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,756036
164,165,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,756036
165,166,,,1,0.1,0.02,60,,,22000,,,[3.0],,90,40,,xe vận tải,,,,795620
166,167,,,1,0.1,0.02,60,,,22000,,,[2.844],,90,40,,xe vận tải,,,,800000
167,168,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,802130
168,169,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,802130
169,170,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,802450
170,171,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,802450
171,172,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,803830
172,173,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,804120
173,174,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,804120
174,175,,,1,0.1,0.02,60,,,22000,,,[0.05],,90,40,,xe máy,,,,804160
175,176,,,1,0.1,0.02,60,,,22000,,,[1.0],,90,40,,xe vận tải,,,,810000
176,177,,,1,0.1,0.02,60,,,22000,,,[710.0],,90,40,,xe vận tải,,,,820000
177,178,,,1,0.1,0.02,60,,,22000,,,[1.20000004768372],,90,40,,xe vận tải,,,,820000
178,179,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,820000
179,180,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,820000
180,181,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,820000
181,182,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,820000
182,183,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,820000
183,184,,,1,0.1,0.02,60,,,22000,,,[0.0],,90,40,,xe vận tải,,,,820000
